iter	MAE	RMSE
146	0.5387411182	0.6946108379
147	0.5385094483	0.6943870963
148	0.5382530992	0.6940947092
149	0.5380698283	0.6938717852
150	0.5377450231	0.6935030629
151	0.5375388654	0.6932800758
152	0.5372486458	0.6929384299
153	0.5369260922	0.692645986
154	0.5366653387	0.6923696841
155	0.5362050976	0.6919061501
156	0.5359537788	0.6915982042
157	0.5357293426	0.6913558526
158	0.5354524805	0.6910109662
159	0.5352089165	0.6907298179
160	0.5350198199	0.6905159458
161	0.5347966246	0.6902415569
162	0.5345659716	0.6899430941
163	0.5343785732	0.6896889813
164	0.5340695718	0.6893011362
165	0.5338823827	0.689089597
166	0.533655558	0.6888308754
167	0.5333077835	0.6884917145
168	0.5331173502	0.6882310191
169	0.532933597	0.6880063796
170	0.532577944	0.6876110517
171	0.532345761	0.6873250018
172	0.5320183922	0.6869143889
173	0.5317906745	0.6866395094
174	0.5313804706	0.6862686104
175	0.5311715027	0.6860332634
176	0.5309932459	0.6858105057
177	0.5307260924	0.6855059081
178	0.5303970074	0.6851961304
179	0.5301235322	0.6848951275
180	0.5299397827	0.6846402863
181	0.5297259003	0.6843672071
182	0.5293934327	0.6839723754
183	0.5292293365	0.683757997
184	0.5290922302	0.6835237541
185	0.5288986508	0.6832742527
186	0.5285178222	0.6828400917
187	0.5281118776	0.6823863377
188	0.5278736822	0.6820834913
189	0.5274700663	0.6816107329
190	0.5271486141	0.681312736
191	0.5270289694	0.6811254602
192	0.5267634273	0.6807924589
193	0.526531653	0.680555536
194	0.5262180634	0.6801403675
195	0.5259250385	0.679772212
196	0.5256243255	0.6794439634
197	0.5254300312	0.6792017415
198	0.5252097145	0.6789501453
199	0.524992137	0.6786673616
200	0.5248584094	0.6784788132
201	0.5244785541	0.6781353049
202	0.5243518456	0.677989742
203	0.5241911587	0.6777762191
204	0.5239576075	0.6774800161
205	0.5236271457	0.6771095805
206	0.5232696589	0.6767315623
207	0.5229844991	0.6764392466
208	0.5227169748	0.6761339282
209	0.5224554056	0.6757903887
210	0.5223007018	0.6755855371
211	0.522154869	0.675394912
212	0.5218659256	0.6751167055
213	0.521625638	0.6748849773
214	0.5213140795	0.6745388912
215	0.5210634817	0.6742572844
216	0.5209035361	0.6740425007
217	0.5206568107	0.6737440761
218	0.5203943713	0.6734351003
219	0.5201781614	0.6731451416
220	0.5199793796	0.6729096908
221	0.5196960426	0.6725744074
222	0.5194723102	0.6722690128
223	0.519314007	0.6720690652
224	0.5192192756	0.6719266934
225	0.5189941482	0.6716580994
226	0.5188152388	0.6713957417
227	0.5185302716	0.6710417298
228	0.5183205766	0.6708063616
229	0.5180783534	0.6705194976
230	0.5178893895	0.6702937184
231	0.5177084074	0.670047698
232	0.5175461788	0.6698459609
233	0.5172936489	0.6695593167
234	0.5171462078	0.6693597123
235	0.5168454018	0.6690211001
236	0.5167481949	0.6688891399
237	0.516463357	0.668532037
238	0.5162873127	0.6683090852
239	0.5160685053	0.6680163416
240	0.5158538413	0.6677433555
241	0.5155895541	0.6674352406
242	0.5152882372	0.6671074726
243	0.5151552582	0.6669193496
244	0.514997374	0.6666975916
245	0.5148512453	0.6665083975
246	0.5147193824	0.6663420023
247	0.5145569117	0.6661346014
248	0.5143069935	0.6659211783
249	0.5140729752	0.6656470696
250	0.5138789284	0.6654099683
251	0.5135721118	0.665087983
252	0.5134971505	0.6649514485
253	0.5133196318	0.6647209324
254	0.5130250923	0.6643958456
255	0.5128538265	0.6641701786
256	0.5126545334	0.6639343244
257	0.5124536755	0.6636795914
258	0.5122361474	0.6634031255
259	0.5120653553	0.6632035138
260	0.5118982644	0.6629935605
261	0.5116999414	0.6627427556
262	0.511514432	0.6625167834
263	0.5114369586	0.6624195207
264	0.5112457035	0.6621929586
265	0.5110705024	0.6619503239
266	0.5108043927	0.6616412118
267	0.510560937	0.6613822265
268	0.5104156469	0.6612093063
269	0.5102038672	0.6609261956
270	0.5100690839	0.6607383117
271	0.5099142615	0.6605476794
272	0.509721297	0.6603212178
273	0.5095138674	0.6601010215
274	0.5094130311	0.6599521298
275	0.5091199966	0.6595903664
276	0.5088840832	0.6593193742
